ID,test_id,web100_log_entry_log_time,connection_spec_client_ip,connection_spec_server_ip,connection_spec_client_hostname,connection_spec_client_application,connection_spec_client_browser,connection_spec_client_os,connection_spec_client_geolocation_city,connection_spec_client_geolocation_latitude,connection_spec_client_geolocation_longitude,downloadThroughput
142847524976.104.203.184.71.157.165,2015/04/08/20150408T06:40:36.293661000Z_c-76-104-203-18.hsd1.wa.comcast.net:61449.s2c_snaplog.gz,1428475249,76.104.203.18,4.71.157.165,,,,,Seattle,47.4485015869,-122.28099823,27.2474618232
142847528274.94.77.9438.102.0.83,2015/04/08/20150408T06:41:02.3610000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:12623.s2c_snaplog.gz,1428475282,74.94.77.94,38.102.0.83,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.5921775839
142847532574.94.77.9438.102.0.83,2015/04/08/20150408T06:41:40.744258000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:12630.s2c_snaplog.gz,1428475325,74.94.77.94,38.102.0.83,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.5785565169
142847537874.94.77.9438.102.0.83,2015/04/08/20150408T06:42:33.970130000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:12641.s2c_snaplog.gz,1428475378,74.94.77.94,38.102.0.83,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.9506358255
1428480515184.77.218.23038.102.0.83,2015/04/08/20150408T08:08:08.910813000Z_184-77-218-230.war.clearwire-wmx.net:2587.s2c_snaplog.gz,1428480515,184.77.218.230,38.102.0.83,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,2.3837393437
142848161374.94.77.9438.102.0.109,2015/04/08/20150408T08:26:33.659127000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:2178.s2c_snaplog.gz,1428481613,74.94.77.94,38.102.0.109,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,1.9873052264
1428484074184.77.218.23038.102.0.97,2015/04/08/20150408T09:07:33.977581000Z_184-77-218-230.war.clearwire-wmx.net:2720.s2c_snaplog.gz,1428484074,184.77.218.230,38.102.0.97,184-77-218-230.war.clearwire-wmx.net,,,,Seattle,47.6062011719,-122.3320999146,1.4962265726
1428484138184.77.218.23038.102.0.97,2015/04/08/20150408T09:08:33.623381000Z_184-77-218-230.war.clearwire-wmx.net:2728.s2c_snaplog.gz,1428484138,184.77.218.230,38.102.0.97,184-77-218-230.war.clearwire-wmx.net,,BTWebClient/3420,Windows,Seattle,47.6062011719,-122.3320999146,3.3683812156
142849069574.94.77.9438.102.0.97,2015/04/08/20150408T10:57:51.308051000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:4549.s2c_snaplog.gz,1428490695,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.8989587104
142849230674.94.77.9438.102.0.97,2015/04/08/20150408T11:24:46.785431000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:5809.s2c_snaplog.gz,1428492306,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.684126206
142849581974.94.77.9438.102.0.97,2015/04/08/20150408T12:23:19.320782000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:10505.s2c_snaplog.gz,1428495819,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,1.8153801248
142849760874.94.77.9438.102.0.97,2015/04/08/20150408T12:53:03.765614000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:13593.s2c_snaplog.gz,1428497608,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,2.0017851504
142850265798.225.24.21638.102.0.109,2015/04/08/20150408T14:17:13.876413000Z_c-98-225-24-216.hsd1.wa.comcast.net:1211.s2c_snaplog.gz,1428502657,98.225.24.216,38.102.0.109,c-98-225-24-216.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.3824005127,-122.3137969971,32.9116825812
142850294698.247.254.574.71.157.152,2015/04/08/20150408T14:22:06.938937000Z_c-98-247-254-57.hsd1.wa.comcast.net:51442.s2c_snaplog.gz,1428502946,98.247.254.57,4.71.157.152,c-98-247-254-57.hsd1.wa.comcast.net,,,,Seattle,47.6847000122,-122.384803772,12.9581088717
142850301998.247.254.57173.205.3.37,2015/04/08/20150408T14:23:15.554957000Z_c-98-247-254-57.hsd1.wa.comcast.net:51723.s2c_snaplog.gz,1428503019,98.247.254.57,173.205.3.37,c-98-247-254-57.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6847000122,-122.384803772,15.80452052
142850745124.18.228.93103.10.233.11,2015/04/08/20150408T15:37:16.456621000Z_c-24-18-228-93.hsd1.wa.comcast.net:49247.s2c_snaplog.gz,1428507451,24.18.228.93,103.10.233.11,,,,,Seattle,47.6319007874,-122.2967987061,31.0076796229
142851262774.94.77.9438.102.0.97,2015/04/08/20150408T17:03:22.903877000Z_74-94-177-94-NewEngland.hfc.comcastbusiness.net:11343.s2c_snaplog.gz,1428512627,74.94.77.94,38.102.0.97,74-94-177-94-NewEngland.hfc.comcastbusiness.net,,BTWebClient/7920,Windows,Seattle,47.6062011719,-122.3320999146,4.6669485814
142851404298.247.254.574.71.157.139,2015/04/08/20150408T17:26:59.77647000Z_c-98-247-254-57.hsd1.wa.comcast.net:56603.s2c_snaplog.gz,1428514042,98.247.254.57,4.71.157.139,c-98-247-254-57.hsd1.wa.comcast.net,,BTWebClient/3420,Windows,Seattle,47.6847000122,-122.384803772,29.2769030139
