id,survey_current_location,survey_normal_location,survey_normal_location_other,survey_location_performance,survey_applications,survey_other_software,survey_isp,survey_subscribe_download,survey_subscribe_upload,survey_bundle,survey_current_cost,survey_partner_org,actual_download,actual_upload,min_rtt,latitude,longitude,bigquery_key
,home,this_location,,normal,"hangouts-meet,skype,other",SAP,Xfinity,250 mps,,no,_41_to_60,,3,6,27,,,
,home,other_location,Office,normal,zoom,,MyT,20 Mbps,8 Mbps,yes,_21_to_40,,19,6,80,-20,57,
,home,this_location,,normal,zoom,,Ziggo,100,10,yes,_61_to_80,,89,11,17,52,5,
,home,this_location,,normal,"hangouts-meet,zoom,skype,jitsi-meet",,Spectrum,,,no,_61_to_80,,13,11,21,41,-74,
,home,this_location,,worse,"zoom,blue-jeans,skype",,Bell,,,yes,dont-know,,22,48,39,44,-79,
,home,other_location,Manhattan,normal,"hangouts-meet,zoom",,Optimum ,,,no,_81_to_100,,104,25,13,41,-74,
,home,this_location,,normal,"zoom,skype,other-video-conferencing",Microsoft Teams,Liberty PR,200,,yes,_81_to_100,,181,21,50,18,-66,
,home,other_location,work,worse,"zoom,skype,other-video-conferencing",Microsoft Teams,Spectrum,300,20,no,_41_to_60,,25,21,13,36,-79,
,home,this_location,,normal,zoom,,RCN,250,,no,_61_to_80,,61,12,6,42,-88,
,home,this_location,,normal,"zoom,other-video-conferencing,school-specific,other","Google suite (for docs, spreadsheets), Uberconference, Blackboard for school",Comcast/XFinity,,,yes,_61_to_80,,117,6,25,40,-75,
,home,this_location,,normal,other-video-conferencing,Microsoft Teams,Comcast,250 Mbps,20 Mbps,no,_81_to_100,,242,23,16,43,-86,
,home,this_location,,normal,"hangouts-meet,zoom",,Spectrum,50,,no,_21_to_40,,9,5,24,42,-74,
,home,this_location,,normal,hangouts-meet,Slack ,AT&T,,,no,_41_to_60,,9,31,31,30,-82,
,home,this_location,,worse,zoom,,Shaw,300 Mbps,15 Mbps,no,_81_to_100,,59,15,15,,,
,office,this_location,,worse,"hangouts-meet,zoom,other-video-conferencing",,,,,default,default,,195,446,13,29,-98,
,home,this_location,,normal,"hangouts-meet,zoom",,verizon,75,75,yes,_more_than_120,,81,71,16,42,-71,
,home,other_location,work,normal,"other-video-conferencing,other",office,comcast,200,5,no,_61_to_80,,239,6,19,48,-122,
